city,state,restaurant_count_x,avg_rating,total_reviews,avg_review_per_restaurant,norm_demand,norm_competition,norm_rating,opportunity_score,sentiment,stars,restaurant_count_y,opportunity_with_sentiment,norm_sentiment,opportunity_with_sentiment_v2,confidence,weighted_sentiment,opportunity_with_sentiment_v3,opportunity_with_sentiment_v4
Edwardsville,IL,89,3.4438202247191003,5238,58.85393258426967,0.0082227987873243,0.0112294845954506,0.5288756463061943,-0.1050325752462118,0.49823270232605105,3.439449076871632,128,0.45551867363013854,0.5994195762108092,0.4656373610186143,0.102837948808227,0.06164307969301632,0.411859711366835,0.43607752214744006
Collinsville,IL,58,3.1034482758620694,2072,35.7241379310345,0.0018153705420206,0.0023034840195796,0.1890704371764691,-0.0375974473701573,0.4223117337015416,3.130143076324632,70,0.3800803638163823,0.279486459043057,0.36579783635053387,0.06467933322891041,0.018076997817414106,0.3396568902279696,0.351914281925482
Belleville,IL,100,3.135,4436,44.35999999999999,0.006599691569152,0.0143967751223725,0.2205696257996662,-0.045133111912069,0.40775264777357667,3.2199110507666266,146,0.38321003402823994,0.2181340576125086,0.36424817501213314,0.09463819038347518,0.02064381247345253,0.34449915049822755,0.35367145670996536
Alton,IL,63,3.412698412698412,2323,36.87301587301587,0.0023233504818726,0.0037431615318168,0.4978056539707566,-0.09952240401276,0.462701351183236,3.4273756014635417,84,0.4456376576456789,0.4496894537656515,0.44433646790392045,0.06848496900348267,0.030796968302333694,0.40244721935758865,0.4219681627397316
Fairview Heights,IL,53,3.216981132075472,3527,66.54716981132076,0.0047600351335926,0.0008638065073423,0.3024142543689221,-0.0583619752591908,0.37626974906824445,3.1349381482179504,77,0.3997546978818432,0.08546422867381565,0.3706741458424003,0.08438658043007702,0.007212034006877439,0.36284892637570654,0.36663893616538923
Greenwood,IN,150,3.286666666666666,8725,58.16666666666666,0.0152798746847893,0.0287935502447451,0.371983758361814,-0.0753948794033916,0.44481604378281425,3.2879792341178464,207,0.4163522408511364,0.37432026061927814,0.4093026625347828,0.1327251963354654,0.049681730083036266,0.3768388094811586,0.3913506432380584
Avon,IN,81,3.333333333333332,5047,62.308641975308646,0.0078362483151661,0.008926000575871,0.418572722227089,-0.082474220460596,0.451489098936968,3.328956736071197,110,0.42932015349241975,0.4024407044858429,0.42441531404730726,0.10094558076918611,0.04062461063948381,0.3882337046626713,0.4046850912387734
Brownsburg,IN,64,3.218749999999999,3040,47.5,0.0037744326208122,0.0040310970342643,0.3041801770221701,-0.0601581482043072,0.419766109021676,3.278667560614369,79,0.4031130902446472,0.2687591243722287,0.3880123917797025,0.07834430828268789,0.021055747693603143,0.3632420541118399,0.3747631571921317
Carmel,IN,175,3.7114285714285686,20263,115.78857142857149,0.0386307613222859,0.0359919378059314,0.7960384090539168,-0.1506898824914198,0.537205335859717,3.5921508474241732,290,0.51758293858389,0.7636513603484658,0.5402275410327649,0.20226583460902015,0.15446057975119604,0.479308462973038,0.5039765110814559
Indianapolis,IN,1902,3.4839642481598334,186568,98.09043112513156,0.3752028884022715,0.5332565505326807,0.5689528275380615,-0.0861660864662807,0.4752332500828873,3.486934085855896,2859,0.4514180807170054,0.5024992315073729,0.4541446788594539,0.6137467941008977,0.3084072923758149,0.4347354849462981,0.4477798617041989
Plainfield,IN,86,3.104651162790697,4499,52.313953488372086,0.0067271925102304,0.0103656780881082,0.1902713212261514,-0.0378003714165475,0.39371640492247373,3.116681941432515,104,0.37700707831513736,0.15898493175128725,0.35353393099801866,0.09530784617745809,0.015152511419885358,0.3391506889648785,0.34592104403596585
Fishers,IN,139,3.546762589928057,13379,96.25179856115108,0.0246987537288965,0.0256262597178232,0.6316466062974687,-0.1216678223103924,0.5168703308122301,3.5665908188791793,203,0.4802079779169284,0.6779590717708384,0.4963168520127892,0.16435483530154904,0.1114258515820872,0.43966352999391406,0.4636538361106921
Zionsville,IN,50,3.65,4596,91.92,0.0069235034830018,0.0,0.7347121198843218,-0.1434806722353634,0.5207930034794295,3.5621081380684667,73,0.501791125718008,0.6944893257544618,0.5191607579455112,0.09632980222635694,0.06690001939824328,0.4564018273098894,0.48478246683193826
New Orleans,LA,1390,3.7651079136690666,386603,278.13165467625936,0.7800386145707265,0.3858335732795854,0.8496283719672245,0.1043435609080427,0.5518300563824552,3.7463184299352905,2258,0.7213740538761054,0.8252803478247446,0.7487190830203344,0.8834933165961751,0.7291296716213286,0.7391040153999928,0.7464569963576334
Harvey,LA,84,3.2619047619047614,4253,50.630952380952365,0.0062293316926863,0.0097898070832133,0.3472630836577899,-0.0692748930101788,0.39786045729544606,3.2592686194729312,117,0.4087934530132131,0.17644808609997198,0.3866522158936657,0.09266555901034192,0.016350660534758844,0.37064247333714445,0.37814127817330145
Gretna,LA,99,3.4898989898989887,5697,57.54545454545454,0.0091517342151811,0.0141088396199251,0.5748776875759598,-0.1146323222935789,0.4910235040599567,3.5246281214029698,137,0.46350592972128246,0.5690398100495104,0.47130756032023785,0.10724912764604781,0.06102902322368275,0.4205064816376551,0.44331315652852143
Metairie,LA,348,3.383620689655172,33363,95.87068965517236,0.0651428617687416,0.0858047797293406,0.4687763470819134,-0.086925272450814,0.4520745288363634,3.3715232312206234,522,0.4392784330887135,0.4049077227021556,0.4345617524752927,0.25953934625404484,0.10508948564333154,0.4045799287694103,0.417573509428622
Marrero,LA,59,3.1864406779661016,1871,31.71186440677966,0.0014085818252468,0.002591419522027,0.2719246519489811,-0.0544580653337809,0.4363911251899608,3.230237466164016,77,0.39781004978228296,0.33881741448691205,0.38805267871197807,0.06146212228935648,0.020824437362958168,0.35625338099958265,0.37118223707889475
Kenner,LA,156,3.214743589743589,8504,54.51282051282052,0.0148326094787842,0.0305211632594298,0.3001804376793413,-0.0617761317743051,0.383010356340629,3.16470983551536,228,0.3951138179836159,0.113869339084399,0.3681997162579929,0.1310334827703379,0.014920696080985361,0.35830485195765155,0.36324787977771217
Kirkwood,MO,55,3.6181818181818177,4488,81.6,0.0067049304411532,0.0014396775122372,0.7029469172489053,-0.1376688214828756,0.5161329226897395,3.551090096856682,82,0.4944527446415451,0.6748516130077655,0.5103246136733477,0.09519126161250144,0.06423997644344079,0.44926345001691526,0.47691727954501717
Florissant,MO,127,3.0590551181102352,4021,31.661417322834627,0.005759804417604,0.0221710336884537,0.1447511966972039,-0.0327216472371749,0.3878177439772131,3.1372195535267915,165,0.3633846253976675,0.13412780706592486,0.3380156317065387,0.09010267718402958,0.01208527450146283,0.3258113784500925,0.3315972315741227
St. Louis,MO,408,3.6286764705882346,38079,93.3308823529412,0.0746872179294656,0.1030809098761877,0.7134240954290738,-0.1362654830839382,0.521391692317851,3.6520491110434565,541,0.4937746025265297,0.6970122175162496,0.5113366550463696,0.27727673151452614,0.19326526949859765,0.4609619602446044,0.48022040506703045
Fenton,MO,67,3.104477611940298,2630,39.253731343283576,0.0029446645915719,0.0048949035416066,0.1900980593483367,-0.0380157506363633,0.375639614030728,3.1080782488691816,89,0.37529296804688694,0.08280882173628923,0.34600988881744305,0.0728699602933066,0.0060342755518589,0.338332434199,0.34201668096020715
Arnold,MO,74,3.094594594594596,2597,35.0945945945946,0.0028778783843404,0.0069104520587388,0.1802314978197903,-0.0366804959894095,0.39076915691999464,3.13331576333409,95,0.37420123099207203,0.14656514499694429,0.349780829799767,0.07241134818748449,0.010612979746522883,0.33618561327472485,0.3425964664691368
Saint Louis,MO,956,3.501569037656904,125409,131.180962343096,0.2514278081576316,0.2608695652173913,0.5865283040038072,-0.069852626287163,0.5039245619128601,3.510123488868631,1787,0.4900083706898827,0.6234052341005996,0.5019564379086566,0.5031934867635034,0.31369345341369875,0.47098525983996653,0.4833575666115082
Ballwin,MO,55,3.418181818181818,3957,71.94545454545454,0.005630279652064,0.0014396775122372,0.5032799292548648,-0.0982727492786121,0.42689289829046495,3.31060143020425,72,0.4451654842871739,0.29879161667930476,0.43235535612605785,0.0893827441319933,0.02670681462243092,0.40514687592037046,0.41769728927469585
Maryland Heights,MO,60,3.2666666666666666,3983,66.38333333333335,0.0056828990880646,0.0028793550244745,0.3520170595624099,-0.0684257688757919,0.4197420894991591,3.248165238703632,88,0.4137869739902814,0.26865790542243206,0.3986785555826087,0.08967591400552204,0.02409214322356569,0.37422197936272206,0.3855298052658903
Saint Charles,MO,93,3.2903225806451615,6144,66.06451612903228,0.0100563837494991,0.0123812266052404,0.3756335850240713,-0.0738128931116368,0.45701832282984933,3.289642033646535,122,0.42113673480602665,0.42574101094422057,0.4180090036174638,0.1113771914161501,0.04741783806963971,0.38017668633000573,0.39722477225772773
St Louis,MO,110,3.672727272727272,15454,140.49090909090913,0.0288981894866366,0.0172761301468471,0.7574015503381889,-0.1422140543683735,0.5270974064451106,3.6361603623111924,149,0.5105664874627494,0.7210562588328269,0.529962372701521,0.17664083645535242,0.12736798069159763,0.4705935448873981,0.49535446923421145
Cherry Hill,NJ,193,3.427461139896373,18850,97.6683937823834,0.0357710973580995,0.0411747768499856,0.5125438003417291,-0.0969756444442917,0.4756188275998216,3.4206813283838033,297,0.45202664871657205,0.504124066110218,0.45487717256761173,0.19508610410864605,0.09834760004485195,0.4142995259610751,0.43145952413000577
Burlington,NJ,61,3.229508196721312,2380,39.01639344262296,0.0024387084761816,0.0031672905269219,0.3149204607001298,-0.0627149250600117,0.43481163616732976,3.3204808708207167,86,0.40649055198915507,0.3321614029041058,0.39622552866283267,0.06932009307490486,0.023025459365203588,0.36531193430894243,0.3797393939414364
Sewell,NJ,60,3.5583333333333327,3084,51.39999999999999,0.0038634808971209,0.0028793550244745,0.6431980837203854,-0.127571682802859,0.5178835683094551,3.5248260756361294,85,0.4811095594265286,0.6822288833497943,0.4975440909305625,0.07890923686564286,0.053834160552831946,0.4347046186508663,0.46362582080792886
Sicklerville,NJ,61,3.180327868852458,2581,42.311475409836056,0.0028454971929554,0.0031672905269219,0.2658220210294625,-0.0526918427674913,0.35989258347981334,3.085503754828106,83,0.38934167427297944,0.01645038793907405,0.35499745471890554,0.07218794203007936,0.0011875196509181943,0.3534711678900899,0.3543172101815996
Mount Laurel,NJ,78,3.423076923076924,5938,76.12820512820511,0.0096394759104174,0.0080621940685286,0.5081668835064677,-0.0992322969666434,0.4684919759034281,3.4656231588057587,109,0.4499197064352447,0.47409131073144395,0.4504796399180463,0.10949410934356434,0.05191020581606246,0.4082615294265081,0.42725704817699495
Glassboro,NJ,56,3.1339285714285707,2494,44.53571428571428,0.0026694244647996,0.0017276130146847,0.2194999812211262,-0.0430835679162308,0.4069968678516323,3.176694247236751,73,0.3851491689109029,0.21494917956496473,0.36594440008223617,0.07096086212078073,0.015252979094084402,0.3459747800351481,0.3553304123272279
Trenton,NJ,145,3.5758620689655167,3315,22.86206896551724,0.0043309843477416,0.0273538727325079,0.6606976329554954,-0.1381801962369806,0.4791075508782785,3.576218525139861,192,0.47357651359827113,0.5188256450499271,0.47754832301543604,0.08181113634738799,0.04244571558770111,0.4299103300692134,0.4518235899803268
Marlton,NJ,85,3.5705882352941183,7896,92.8941176470588,0.0136021242061548,0.0100777425856608,0.655432580533747,-0.1273087767793702,0.5002232000226826,3.4946138364670514,123,0.48352636301578134,0.6078075900143236,0.49428480201494546,0.1262624547475055,0.07674327832937392,0.44117837084645045,0.4645745287245369
Camden,NJ,51,3.715686274509803,1175,23.039215686274517,0.0,0.0002879355024474,0.8002890228039321,-0.1601441852115206,0.4854784570384449,3.7579942265303865,59,0.5085192696138967,0.5456728244778677,0.5145387063578389,0.048706799354942834,0.02657797677528844,0.462629221587581,0.48725506513394556
Medford,NJ,52,3.5192307692307687,3178,61.11538461538462,0.0040537203965076,0.0005758710048949,0.6041606277343716,-0.1189780266500889,0.5022927199945635,3.49542808535525,72,0.47251012440346524,0.6165286059291686,0.4839337129969257,0.08010278301651162,0.04938565714421659,0.4272194181184305,0.45330996872029267
Reno,NV,797,3.583437892095354,151258,189.78419071518195,0.3037416466645349,0.2150878203282464,0.6682608418850464,-0.0463076911432157,0.5163950920849999,3.5783282084672052,1287,0.5422619901528494,0.6759564022823394,0.5582181211725833,0.5526241188844672,0.3735498112155923,0.5279774620659086,0.539607383391693
Sparks,NV,240,3.4041666666666663,32698,136.2416666666666,0.0637970185018032,0.0547077454650158,0.4892881138083126,-0.0823714371502656,0.4579654750596032,3.397199442016646,334,0.45276065402883936,0.4297323373299027,0.44993734025586934,0.25693972406269316,0.11041530817436138,0.4180056373403152,0.43164057431446434
Collegeville,PA,54,3.6481481481481497,4595,85.0925925925926,0.0069214796585403,0.0011517420097898,0.7328633514769707,-0.1434574530690609,0.5225684960816046,3.582083972167438,78,0.5012525891640337,0.7019713019859768,0.5191928697544709,0.09631932191275074,0.06761339980950005,0.45575707953682326,0.48444037863809913
Langhorne,PA,73,3.3219178082191774,5046,69.12328767123286,0.0078342244907045,0.0066225165562913,0.4071762046475209,-0.0795048836510393,0.4521785210450086,3.2971769737352177,99,0.4278000278633995,0.4053459488217086,0.4231167706410695,0.10093557972088603,0.040913828331831756,0.3866735585920818,0.40324118442451923
Upper Darby,PA,71,3.471830985915493,3387,47.70422535211267,0.004476699708974,0.0060466455513964,0.5568397679037141,-0.1109435973916747,0.45244806307808855,3.4500725919045254,104,0.4565894461067223,0.40648180660136246,0.4519928204590497,0.08269481062019839,0.03361393601745578,0.41470603340065904,0.4318925651144303
Wayne,PA,67,3.6865671641791034,8028,119.82089552238811,0.0138692690350809,0.0048949035416066,0.7712183975399463,-0.1487775160529307,0.5377267404005531,3.542322133004357,128,0.5120955900995949,0.7658485738861402,0.5349077734481535,0.12731346569056137,0.09750283613561847,0.4680731996731014,0.49730880820560075
Doylestown,PA,101,3.663366336633663,7491,74.16831683168317,0.0127824752992224,0.01468471062482,0.7480562007651105,-0.1476254156908569,0.5608558778942867,3.647805393888781,156,0.5064044048746936,0.8633154159172214,0.5366503586769872,0.12298171842963412,0.10617201339629419,0.4609360184248944,0.4941237116460872
Royersford,PA,52,3.5096153846153846,3046,58.57692307692309,0.0037865755675815,0.0005758710048949,0.5945612533115812,-0.1171917241799939,0.46541920993315816,3.349808069107781,73,0.46679604058119617,0.4611425876973956,0.4663683783576199,0.07842158363431888,0.03616353200845754,0.4238704727887261,0.44350057775112917
Levittown,PA,87,3.385057471264368,3146,36.16091954022989,0.0039889580137377,0.0106536135905557,0.4702107363634804,-0.0952437523429939,0.4321718790949961,3.4564103399902915,117,0.43565883431052405,0.3210373916590137,0.4245453855669258,0.07969847616741686,0.025586190907985574,0.395000265491823,0.40869296388466203
Willow Grove,PA,63,3.277777777777778,5319,84.42857142857143,0.0083867285687108,0.0037431615318168,0.3631096700065237,-0.0695515181764943,0.4624647689334961,3.3449293396910162,91,0.42110015386259364,0.4486924894487154,0.4197229259141156,0.1036300371382522,0.04649801934522521,0.37950347890376657,0.3977076378701153
Havertown,PA,56,3.625,3358,59.96428571428573,0.0044180087995887,0.0017276130146847,0.7097537463850659,-0.1402600287816242,0.5445490263929157,3.5918953643932974,91,0.4976545715317349,0.7945978807415564,0.522659456966599,0.08234002689846087,0.06542721087371975,0.4497423899798153,0.4831504633695005
Bryn Mawr,PA,50,3.64,3823,76.46,0.0053590871742148,0.0,0.724728770484619,-0.1422662105098163,0.536608011828796,3.577296422220341,93,0.5007501901494894,0.7611342199242317,0.523202810959033,0.08785627942734447,0.06687042070737716,0.4537764310373475,0.4854140543215321
Glen Mills,PA,51,3.6372549019607847,5059,99.19607843137256,0.0078605342087048,0.0002879355024474,0.7219882431984275,-0.1405537621860673,0.5421993999711832,3.565759452299407,75,0.5016754216695515,0.7846964882948597,0.5259251305019192,0.10106551615497512,0.07930575561451639,0.45538605723388487,0.4870833327976114
Pottstown,PA,101,3.465346534653464,4011,39.71287128712872,0.0057395661729884,0.01468471062482,0.5503661136422972,-0.1116088528294112,0.47967091555173325,3.454398942566892,137,0.45593072756538205,0.5211996797776977,0.46008360398797854,0.08999056730213482,0.04690305486088602,0.41265394149629736,0.43431059830774305
Conshohocken,PA,66,3.53030303030303,8337,126.31818181818178,0.0144946307937034,0.0046069680391592,0.6152144528272813,-0.1171776655803523,0.5098518517482552,3.457041616756224,103,0.4784438376460154,0.648383001741758,0.49229695264536566,0.12974049763414552,0.08412153330349673,0.43587080580153953,0.4606025340979629
Philadelphia,PA,3523,3.58487084870849,495289,140.58728356514342,1.0,1.0,0.6696914125394016,0.0660617174921196,0.5041416959580843,3.5556997353935187,5849,0.5843524521036888,0.6243202431315751,0.5963703068210379,1.0,0.6243202431315751,0.5963703068210379,0.615154294664459
Kennett Square,PA,63,3.738095238095237,3795,60.23809523809524,0.0053024200892911,0.0037431615318168,0.8226606741197909,-0.1630038732388577,0.5585478336470957,3.706331160425178,88,0.5213849377648392,0.8535892519345538,0.550889079593585,0.08753395446443259,0.07471804271016831,0.4730019586711464,0.5084747380013219
Phoenixville,PA,83,3.469879518072289,6296,75.855421686747,0.0103640050676564,0.0095018715807659,0.5548915493716161,-0.1086468688147247,0.5080411243108625,3.478553058127774,140,0.46307746285824225,0.640752544914325,0.47634860491858855,0.1127464868621829,0.0722425983870932,0.41949761026586535,0.4448291779262551
